BOF Annual Report #,Subject,Proposed By,Action,Subject Details,Sources Cited (Subject),Proposer Details,Sources Cited (Proposer),Recommend Deeper Dive?,Recommendation Reasoning,source_sheet,subject_text,action_text,reasoning_text,proposer_text,status,technology_clusters,primary_cluster,proposer_type,year,is_approved,is_rejected,is_investigating,source_file
1898-1899,Aerodrome,S. P. Langley,Allotment,"S. P. Langley began developing airplane prototypes, which are all called ""Langley Aerodrome"" in the 1890s:
1894-1896- first prototype testing-unsuccessful unmanned flights, all end up crashing
1896- first successful unmanned flight over the Potomac (lasts 90 seconds)
1898- Assistant Secretary of the Navy Theodore Roosevelt commissions Navy to support the project
1899- Board of Ordnance gives Langley 50,000$ grant
1903- 2 unsuccessful manned flights over Potomac, overtaken by Wright Brothers airplane


Despite a short revival in 1913, the Langley aerodrome was discontinued and never flew again. It had serious engineering flaws, such as the fact that it had no steering system and was incredibly unstable and hard to maneuver. It became the subject of ridicule in Washington soon after it’s failed test flights.",https://en.wikipedia.org/wiki/Langley_Aerodrome,"The Langley Aeroplane was designed, and built by engineer, astronomer, and physicist Samuel Langley. An accomplished astronomer, he served as the director of Alleghany Observatory and Proffesor of Astronomy at the University of Pittsburgh, he most notably served as the 3rd Secretrary of the Smithsonian Institution. He was given a joint grant (70,000$) from the War Department and the Smithsonian to develop the aerodrome. Langley died of a stroke soon after the end of the project in 1905.","https://en.wikipedia.org/wiki/Samuel_Langley
https://www.sil.si.edu/ondisplay/langley/intro.htm",Yes,The Aerodrome was a significant step in developing the modern airplane and many of its components doubtlessly inspired the Wright brothers in their successful design. It’s collaboration with the Ordnance Board is certainly worthy of study,Sheet1,Aerodrome,Allotment,The Aerodrome was a significant step in developing the modern airplane and many of its components doubtlessly inspired the Wright brothers in their successful design. It’s collaboration with the Ordnance Board is certainly worthy of study,S. P. Langley,Investigating,[],Other/Unclassified,Private,1898,0,0,1,Copy of Subjects Considered 1898-1899.xlsx
1898-1899,"Gatling 8-inch cast-steel gun, ammunition for test.",Chief of Ordnance,Allotment,See line 24 for details, , , ,Yes, ,Sheet1,"Gatling 8-inch cast-steel gun, ammunition for test.",Allotment,,Chief of Ordnance,Investigating,['Artillery'],Artillery,Government,1898,0,0,1,Copy of Subjects Considered 1898-1899.xlsx
1898-1899,Squior Crehore range finder,"G. O. Squier was a US Army General who was also a prolific inventor. He received a PhD. from John Hopkins University in 1893. He wrote multiple volumes about radio and electricity and was later instrumental in founding the US Army Signal Corps Aeuronauticla division, during which he negotiated the first ever purchase of airplanes for military purpose, from the Wright Brothers, in 1908. He became the US Army's Chief Signal Officer during WW1.

A. C. Crehore was an American engineer. After graduating from Yale, he studied at Johns Hopkins before getting a PhD in physics from Cornell. He started his career by pioneering quantum physics. After is business venture with Squier failed, he disappeared for nearly 30 years until he was discovered living as a hermit in a shack in Cleveland, Ohio. In the meanwhile, his theories gained widespread acclaim and became the basis for modern quantum mechanics theory. Before dying in 1958, he was commissioned by the US Government to lead the development of the world’s first ICBM.","Additional allotment not
recommended","One of the world's first electrical range finders. Board gave the project multiple allotments and it was tested extensively at Sandy Hook. In the end, it was deemed to impractical and fragile and was not used. (note: typographical error in original text, real name of inventor is Squier not Soffor)",https://en.wikipedia.org/wiki/George_Owen_Squier,"G. O. Squier was a US Army General who was also a prolific inventor. He received a PhD. from John Hopkins University in 1893. He wrote multiple volumes about radio and electricity and was later instrumental in founding the US Army Signal Corps Aeuronauticla division, during which he negotiated the first ever purchase of airplanes for military purpose, from the Wright Brothers, in 1908. He became the US Army's Chief Signal Officer during WW1.",https://archive.dartmouthalumnimagazine.com/article/1959/10/1/a-neglected-genius-who-once-taught-here,Yes,"Despite the failure of this particular project, the two inventors went on to have spectacularly impactful careers and they are definitely worthy of deeper research as part of their collaboration with the Board of Ordnance.",Sheet1,Squior Crehore range finder,"Additional allotment not
recommended","Despite the failure of this particular project, the two inventors went on to have spectacularly impactful careers and they are definitely worthy of deeper research as part of their collaboration with the Board of Ordnance.","G. O. Squier was a US Army General who was also a prolific inventor. He received a PhD. from John Hopkins University in 1893. He wrote multiple volumes about radio and electricity and was later instrumental in founding the US Army Signal Corps Aeuronauticla division, during which he negotiated the first ever purchase of airplanes for military purpose, from the Wright Brothers, in 1908. He became the US Army's Chief Signal Officer during WW1.

A. C. Crehore was an American engineer. After graduating from Yale, he studied at Johns Hopkins before getting a PhD in physics from Cornell. He started his career by pioneering quantum physics. After is business venture with Squier failed, he disappeared for nearly 30 years until he was discovered living as a hermit in a shack in Cleveland, Ohio. In the meanwhile, his theories gained widespread acclaim and became the basis for modern quantum mechanics theory. Before dying in 1958, he was commissioned by the US Government to lead the development of the world’s first ICBM.",Investigating,['Fortification and Engineering'],Fortification and Engineering,Government,1898,0,0,1,Copy of Subjects Considered 1898-1899.xlsx
1898-1899,Breech mechanism for small arm,Ansley H. Fox,Not recommended, , , , ,No, ,Sheet1,Breech mechanism for small arm,Not recommended,,Ansley H. Fox,Investigating,['Small Arms'],Small Arms,Private,1898,0,0,1,Copy of Subjects Considered 1898-1899.xlsx
1898-1899,Joveite,Chief of Ordnancө, Reports filed,"In the 1890s, the world's militaries attempted to systematically replace dynamite as their main explosive, which was seen as too unstable and dangerous. Joveite was one of the explosives considered. It was considerably more stable than dynamite but with low explosive power. It was publicly tested in 1895 and tested by the Board in 1899, but was found unsuitable. It faded into obscurity soon after.",https://www.nytimes.com/1895/01/19/archives/joveite-the-new-explosive-through-designed-to-supplant-dynamite-it.html,Internal submission for testing by the Chief of Ordnance. No inventor is know and the mixture was never patented., ,Yes,"New explosives were one of the priorities of the Board of Ordnance. Despite it's failure, Joveite could be a very interesting case study for how the Board handled emerging tech.",Sheet1,Joveite,Reports filed,"New explosives were one of the priorities of the Board of Ordnance. Despite it's failure, Joveite could be a very interesting case study for how the Board handled emerging tech.",Chief of Ordnancө,Investigating,[],Other/Unclassified,Government,1898,0,0,1,Copy of Subjects Considered 1898-1899.xlsx
1898-1899,Bufington-Crozier 10-inch disappearing carriage,Chief of Ordnancө,"To be tested at Galveston,
Tex.","This 10-inch coast defense disappearing (it had a mechanism which allowed it to protect itself by hiding behind a parapet)  gun was developed internally, exensively test by the Board, and entered widespread usage in the United States. It is one of the most succesful creations of the Board and was used for coastal defences up until the end of WW2. Nine 10-inch guns (one partial) remain at four locations: 
1. Two 10-inch Guns M1895MI (#25 & #22 Watervliet) on Disappearing Carriages M1901 (#14 & #16 Watertown), Battery Grubbs, Fort Mills, Corregidor Island, Philippines. The guns lie behind their mountings, since they were fired while disconnected from the carriages to deny use of them to the Japanese forces.

2. One 10-inch Gun M1895MI (#20 Watervliet) (spare gun), Battery Grubbs, Fort Mills, Corregidor Island, Philippines

3. Two 10-inch Guns M1895MI (#26 & #28 Watervliet) on Disappearing Carriages M1901 (#13 & #15 Watertown), Battery Worth, Fort Casey, Coupeville, WA (guns moved in the 1960s from Battery Warwick, Fort Wint, Grande Island, Subic Bay, Philippines)

4. Two 10-inch Guns M1888 (#41 & #3 Watervliet), Fort Cape Spear, St. John's, Newfoundland, Canada (guns moved in World War II from Battery Harker, Fort Mott, New Jersey)

5. One 10-inch Gun M1888 (#12 Watervliet) on Barbette Carriage M1893 (#11 Watertown) (with partial remains of other gun (#37) and carriage (#1)), Fort McNutt, McNutts Island, Nova Scotia, Canada (guns moved in World War II from Battery Quarles, Fort Worden, WA)",https://en.wikipedia.org/wiki/10-inch_gun_M1895,"Buffington and Crozier were distinquished ordnance/artillery officers, both of whom served as Chiefs of Ordnance of the US Army. William Crozier is credited with transforming the US Army into a modern force by extensively reforming ordnance procurement and leading the adoption of new weapons, such as the M1911 Colt, M1903 Springfield, and 1917 Brown machine gun.","https://en.wikipedia.org/wiki/Adelbert_Rinaldo_Buffington
https://en.wikipedia.org/wiki/William_Crozier_(artillerist)
",Yes,"Being one the most successful products of the Board of Ordance, which was used internationally for decades to come, it is definitely worthy of further research.",Sheet1,Bufington-Crozier 10-inch disappearing carriage,"To be tested at Galveston,
Tex.","Being one the most successful products of the Board of Ordance, which was used internationally for decades to come, it is definitely worthy of further research.",Chief of Ordnancө,Investigating,['Artillery'],Artillery,Private,1898,0,0,1,Copy of Subjects Considered 1898-1899.xlsx
1898-1899,"Steel rail parapet, ammunition for test",Chief of Engineers,Allotment, , , , ,No, ,Sheet1,"Steel rail parapet, ammunition for test",Allotment,,Chief of Engineers,Investigating,[],Other/Unclassified,Private,1898,0,0,1,Copy of Subjects Considered 1898-1899.xlsx
1898-1899,System of range finding,D. R. Throop,Not recommended, , , , ,No, ,Sheet1,System of range finding,Not recommended,,D. R. Throop,Investigating,[],Other/Unclassified,Private,1898,0,0,1,Copy of Subjects Considered 1898-1899.xlsx
1898-1899,Explosive compound,L. W. Doane,Not reccommended, , , , ,No, ,Sheet1,Explosive compound,Not reccommended,,L. W. Doane,Investigating,['Explosives'],Explosives,Private,1898,0,0,1,Copy of Subjects Considered 1898-1899.xlsx
1898-1899,"Bofors 15 cm. gun, terms",Aktiebologet Bofors-Gull-Spang,Accepted,"This Swedish Naval Cannon was proposed by AB Bofors to the Board of Ordnance for use as coastal defense artillery. It was ultimately rejected in favour of domestic models. However, a similar design was developed in 1947 and sold to the Swedish, Dutch, Chilean, and Peruvian Navy for use aboard ships. It never penetrated the US market.","https://en.wikipedia.org/wiki/Bofors
https://en.wikipedia.org/wiki/Bofors_15,2_cm_kanon_m/42","Bofors is a Swedish defense company founded in 1873, with a focus on artillery, particularly naval artillery. It sold artillery and anti-aricraft guns to both sides during WW2 and was owned by Krupp for a short while. It is currently a subsidiary of BAE Systems.",https://en.wikipedia.org/wiki/Bofors,Yes,"Despite not being succesful, the attempted sale shows the extent to which foreign companies attempted to sell to the US Army. It's rejection also highlights the importance the Board put on supporting domestic manufacturing.",Sheet1,"Bofors 15 cm. gun, terms",Accepted,"Despite not being succesful, the attempted sale shows the extent to which foreign companies attempted to sell to the US Army. It's rejection also highlights the importance the Board put on supporting domestic manufacturing.",Aktiebologet Bofors-Gull-Spang,Approved,['Artillery'],Artillery,Government,1898,1,0,0,Copy of Subjects Considered 1898-1899.xlsx
