BOF Annual Report #,Subject,Proposed By,Action,Subject Details,Sources Cited (Subject),Proposer Details,Sources Cited (Proposer),Recommend Deeper Dive?,Recommendation Reasoning,source_sheet,subject_text,action_text,reasoning_text,proposer_text,status,technology_clusters,primary_cluster,proposer_type,year,is_approved,is_rejected,is_investigating,source_file
BOF.AR.11.1900-1901,Shields for coast guns,,Adopted,,,,,No,,Sheet1,Shields for coast guns,Adopted,nan,nan,Approved,[],Other/Unclassified,Private,1900,1,0,0,Copy of Subjects Considered 1900-1901.xlsx
BOF.AR.11.1900-1901,Nonrecoil field carriage and gun,Capt. I.N. Lewis,Allotment,,,,,,,Sheet1,Nonrecoil field carriage and gun,Allotment,nan,Capt. I.N. Lewis,Investigating,['Artillery'],Artillery,Private,1900,0,0,1,Copy of Subjects Considered 1900-1901.xlsx
BOF.AR.11.1900-1901,Electrical power equipment for heavy guns,"Sprague Electric Co., General Electric Co.",Adopted for service test,Electrical equipments were incorporated into guns for the purpose of increasing the velocity of the projectiles. It incorporated an existing technology of electrical generators that were developed during the period.,"https://www.academia.edu/79237675/Early_electric_gun_research#:~:text=tiple%20capacitors%20with%20separate%20switches,the%20use%20of%20titanium%20dioxide.","Sprague Electric Co.: Electric company formed by Frank Sprague, who served in the Navy during the late 19th century. Sprague developed electric motors when working for Edison. 

General Electric Co.: GE later became involved with supplying the military with various equipments, including ships, submarines, weapons-control systems and motors for aircrafts during the Second World War.","http://egen.fortwayne.com/ns/projects/history/2000/1940/war11.php#:~:text=General%20Electric's%20Fort%20Wayne%20plants,%2C%20and%20gun%2Dfiring%20solenoids. , https://lemelson.mit.edu/resources/frank-sprague ",Yes,The military was looking into creating a different type of firearm that utilized electricity coils as opposed to gunpowder for propulsion. Both companies involved with the invention were responsible for producing electric mortars and GE became a prominent partner with the US military. ,Sheet1,Electrical power equipment for heavy guns,Adopted for service test,The military was looking into creating a different type of firearm that utilized electricity coils as opposed to gunpowder for propulsion. Both companies involved with the invention were responsible for producing electric mortars and GE became a prominent partner with the US military.,"Sprague Electric Co., General Electric Co.",Approved,[],Other/Unclassified,Private,1900,1,0,0,Copy of Subjects Considered 1900-1901.xlsx
BOF.AR.11.1900-1901,Range and azimuth indicator,Prentiss Clock Improvement Co.,Additional allotment,"Indicator that displays data for determining the range, spacing, or bearing of a target. Usually used in aviation as radars. ","https://www.wbparts.com/rfq/5841-01-004-2227.html#:~:text=NSN%205841%2D01%2D004%2D,Radiation%20Equipment%20%7C%20Radar%20Equipment%2C%20Airborne",,,No,,Sheet1,Range and azimuth indicator,Additional allotment,nan,Prentiss Clock Improvement Co.,Investigating,[],Other/Unclassified,Private,1900,0,0,1,Copy of Subjects Considered 1900-1901.xlsx
BOF.AR.11.1900-1901,Nonmetallic field gun ammunition,J.F. Meigs,Allotment,,,,,No,,Sheet1,Nonmetallic field gun ammunition,Allotment,nan,J.F. Meigs,Investigating,['Artillery'],Artillery,Private,1900,0,0,1,Copy of Subjects Considered 1900-1901.xlsx
BOF.AR.11.1900-1901,"Datum points, form",Chief of Engineers,Adopted,Geometrically important pat of an object that serves as a reference in defining the geometry of the object. Use in manufacturing to manufacture products with precision.,https://en.wikipedia.org/wiki/Datum_reference,Chief of Engineers at the time was Brigadier General George L. Gillespie. Gillepsie served in the US Army and commanded companies of engineer battalion for the Union Army during the Civil War.  ,"https://en.wikipedia.org/wiki/George_Lewis_Gillespie_Jr.#:~:text=Gillespie%20was%20appointed%20as%20Chief,War%20College%20building%20in%201903.",No,,Sheet1,"Datum points, form",Adopted,nan,Chief of Engineers,Approved,[],Other/Unclassified,Private,1900,1,0,0,Copy of Subjects Considered 1900-1901.xlsx
BOF.AR.11.1900-1901,Search lights,,Installation recommended,Search lights were used to track small targets such as torpedo boats or engage against enemy units during nighttime battles. ,"https://en.wikipedia.org/wiki/Searchlight#:~:text=Searchlights%20were%20installed%20on%20most,units%20in%20nighttime%20gun%20battles.",,,No,,Sheet1,Search lights,Installation recommended,nan,nan,Investigating,[],Other/Unclassified,Private,1900,0,0,1,Copy of Subjects Considered 1900-1901.xlsx
BOF.AR.11.1900-1901,Canteen,"Lanz, Owen & Co.",Not recommended,,,"Owen, Lanz & Co. is a leather goods producer that produced gun-holsters and other military related equipments using leather. The company was created by Richard Owen and George Lanz, with Owen having fought for the Union during the Civil War.",https://www.usmilitariaforum.com/forums/index.php?/topic/304113-info-needed-for-lanz-owen-co-holsters/,No,,Sheet1,Canteen,Not recommended,nan,"Lanz, Owen & Co.",Investigating,[],Other/Unclassified,Private,1900,0,0,1,Copy of Subjects Considered 1900-1901.xlsx
BOF.AR.11.1900-1901,"Fuses, combination",B.D. Stevens,Tested and no recommended,,,,,No,,Sheet1,"Fuses, combination",Tested and no recommended,nan,B.D. Stevens,Investigating,[],Other/Unclassified,Private,1900,0,0,1,Copy of Subjects Considered 1900-1901.xlsx
BOF.AR.11.1900-1901,Instrument for observation of artillery fire,Board of Regulation of Seacoast Artillery Fire,Not recommended,,,"Established by the U.S. War Department in 1894 to improve the accuracy, range, and batteries of seacoast artilleries. ",https://raytodd.blog/wp-content/uploads/2024/06/coastal-artillery-and-its-mines.pdf?utm_source=chatgpt.com,No,,Sheet1,Instrument for observation of artillery fire,Not recommended,nan,Board of Regulation of Seacoast Artillery Fire,Investigating,['Communications and Observation'],Communications and Observation,Private,1900,0,0,1,Copy of Subjects Considered 1900-1901.xlsx
