BOF Annual Report #,Subject,Proposed By,Action,Subject Details,Sources Cited (Subject),Proposer Details,Sources Cited (Proposer),Recommend Deeper Dive?,Recommendation Reasoning,source_sheet,subject_text,action_text,reasoning_text,proposer_text,status,technology_clusters,primary_cluster,proposer_type,year,is_approved,is_rejected,is_investigating,source_file
"BOF.AR.15.1904-1905
",Experimental truck and searchlight reflector,Chief of Engineers,,,,"Chief of Engineers on the board from 1904-1905 was Brig. Gen. Alexander Mackenzie. Before serving on the Board, he served with the Union Army in Arkansas, commanded a company of engineer troops that experimented in use of torpedoes in coastal defense, and served for 16 years as Rock Island District Engineer building dams and channels where he excelled at river and harbor improvements.","•Fifteenth Report of the Board of Ordnance and Fortification, July 1, 1904 to June 30, 1905. House Document No. 85, 59th Congress, 1st Session. Washington, DC: Government Printing Office, 1905, p. 3. and https://en.wikipedia.org/wiki/Alexander_Mackenzie_(engineer)",No,,Sheet1,Experimental truck and searchlight reflector,nan,nan,Chief of Engineers,Investigating,['Fortification and Engineering'],Fortification and Engineering,Private,1904,0,0,1,Copy of Subjects Considered 1904-1905.xlsx
"BOF.AR.15.1904-1905
",Floating target for test of torpedo shell,Board of Ordnance and Fortification,,,,,,No,,Sheet1,Floating target for test of torpedo shell,nan,nan,Board of Ordnance and Fortification,Investigating,['Explosives'],Explosives,Government,1904,0,0,1,Copy of Subjects Considered 1904-1905.xlsx
"BOF.AR.15.1904-1905
",Alteration of dummy gun for test of shields,Chief of Ordnance,,,,Chief of Ordnance Brig. Gen. William Crozier. Known for promoting inventions like the Buffington Crozier disappearing gun carriage and reorganizing the department to match efficiency in the private sector. He aimed for the military to set the standard for innovation and production that other companies needed to match.,https://www.jstor.org/stable/45471334,Yes,"Look into more about William Crozier over time during his position as Chief of Ordnance. It would be interesting to see what he proposed and supported, and if this shifted over his time as leader or generally remained the same. ",Sheet1,Alteration of dummy gun for test of shields,nan,"Look into more about William Crozier over time during his position as Chief of Ordnance. It would be interesting to see what he proposed and supported, and if this shifted over his time as leader or generally remained the same.",Chief of Ordnance,Investigating,['Artillery'],Artillery,Government,1904,0,0,1,Copy of Subjects Considered 1904-1905.xlsx
"BOF.AR.15.1904-1905
",Device for continuous laying of guns,Capt. F. K. Fergusson,,,,,,No,,Sheet1,Device for continuous laying of guns,nan,nan,Capt. F. K. Fergusson,Investigating,[],Other/Unclassified,Private,1904,0,0,1,Copy of Subjects Considered 1904-1905.xlsx
"BOF.AR.15.1904-1905
",Ammunition for test of shield,Bethlehem Steel Co. ,,,,"Bethlehem Steel Corporation became one of the world's largest steel-producing and shipbuilding companies, and later, at its height, a symbol of American manufacturing prowess in the world. Charles M. Schwab purchased the company in 1901, and in 1904, it assumed the name Bethlehem Steel Corporation. Later, it acquired the Bethlehem Steel Company and its subsidiaries from the United States Shipbuilding Company. During World War I and World War II, this company was a major supplier of armor plates and ordnance to the U.S. armed forces.",•https://en.wikipedia.org/wiki/Bethlehem_Steel,Yes,"Tracking this company's influence and examining it over the years leading up to WWI could be interesting, given that they are one of the leading manufacturers of steel and provided a significant number of weapons to the Army. Looking more into their founding and what they are proposing to the board could help tell the story as how the government interected with private corporations.",Sheet1,Ammunition for test of shield,nan,"Tracking this company's influence and examining it over the years leading up to WWI could be interesting, given that they are one of the leading manufacturers of steel and provided a significant number of weapons to the Army. Looking more into their founding and what they are proposing to the board could help tell the story as how the government interected with private corporations.",Bethlehem Steel Co.,Investigating,['Armor and Protection'],Armor and Protection,Private,1904,0,0,1,Copy of Subjects Considered 1904-1905.xlsx
"BOF.AR.15.1904-1905
",Program for test of 6-inch Bethlehem gun,Chief of Ordnance,,"The Bethlehem 6-inch gun was proposed and designed by the Bethlehem Steel Company. It could fire at least eight rounds in one minute with a velocity of 2,500 ft/s, to achieve a muzzle velocity of 3,000 ft/s, and hold a projectile weighing 100 pounds. The gun was tested in the previous year and accepted, and now it is turned over to the Ordnance Department.","Fifteenth Report of the Board of Ordnance and Fortification, July 1, 1904 to June 30, 1905. House Document No. 85, 59th Congress, 1st Session. Washington, DC: Government Printing Office, 1905, p. 9.",Chief of Ordnance Brig. Gen. William Crozier. Known for promoting inventions like the Buffington Crozier disappearing gun carriage and reorganizing the department to match efficiency in the private sector. He aimed for the military to set the standard for innovation and production that other companies needed to match.,https://link.gale.com/apps/doc/BT2310015296/UHIC?u=upenn_main&sid=summon&xid=709af55f,Yes,"This gun shows Crozier and the Bethlehem Steel Company working together. If researching the other two more in depth, this is a good example of how Crozier supported technologies from these private arms companies. Also, can look into the difference this gun made and how much the military used it.",Sheet1,Program for test of 6-inch Bethlehem gun,nan,"This gun shows Crozier and the Bethlehem Steel Company working together. If researching the other two more in depth, this is a good example of how Crozier supported technologies from these private arms companies. Also, can look into the difference this gun made and how much the military used it.",Chief of Ordnance,Investigating,['Artillery'],Artillery,Government,1904,0,0,1,Copy of Subjects Considered 1904-1905.xlsx
"BOF.AR.15.1904-1905
",Ballistic computer,Capt. C.C. Hearn,,"If this computer is similar to the Whistler-Hearn plotting Board, it was a mechanical device to track a target like a moving ship, project its future position, and determine the range needed to fire the guns to hit the target. The ballistic computer calculates where to hit the target and is likley a first test devlopment before more advanced computer technologies came out like ENIAC and were used in WWII.",•https://www.thenmusa.org/armyinnovations/innovationeniaccomputer/ •https://en.wikipedia.org/wiki/Plotting_board,United States Army officer who served in WWI and received the Distinguished Service Medal. He co-developed the Whistler-Hearn plotting board and authored a manual on fire control. He later commanded the 153rd Field Artillery Brigade in the 78th Infantry Division,https://en.wikipedia.org/wiki/Clint_Calvin_Hearn,No,,Sheet1,Ballistic computer,nan,nan,Capt. C.C. Hearn,Investigating,[],Other/Unclassified,Private,1904,0,0,1,Copy of Subjects Considered 1904-1905.xlsx
"BOF.AR.15.1904-1905
",Reflecting sight,Maj. Hamilton Rowan,,"This is likely a very initial test of a reflecting sight prototype, as it was only first invented in 1900 by Irish optical designer and telescope maker Howard Grubb. His aim was to create a beam of light that would be projected from the gun to the target so that the shooter could line the gun up with the line and fire a more accurate shot. The reflector sight was first used on a German fighter aircraft in 1918 and was adopted into warfare more broadly during WWII.","https://en.wikipedia.org/wiki/Reflector_sight#:~:text=It%20was%20noted%20soon%20after,the%20abbreviation%20%22reflex%20sight%22.",,,No,,Sheet1,Reflecting sight,nan,nan,Maj. Hamilton Rowan,Investigating,[],Other/Unclassified,Private,1904,0,0,1,Copy of Subjects Considered 1904-1905.xlsx
"BOF.AR.15.1904-1905
",Ammunition for test of 5-inch gun,Bethlehem Steel Co. ,,"On May 4, 1900, the Board allotted funds for the construction of a 5-inch gun and carriage proposed by the Bethlehem Steel Company. Completion of this to test the weapon was delayed until 1904, when the test of the gun was finally completed. ","Fifteenth Report of the Board of Ordnance and Fortification, July 1, 1904 to June 30, 1905. House Document No. 85, 59th Congress, 1st Session. Washington, DC: Government Printing Office, 1905, p. 9.","Bethlehem Steel Corporation became one of the world's largest steel-producing and shipbuilding companies, and later, at its height, a symbol of American manufacturing prowess in the world. Charles M. Schwab purchased the company in 1901, and in 1904, it assumed the name Bethlehem Steel Corporation. Later, it acquired the Bethlehem Steel Company and its subsidiaries from the United States Shipbuilding Company. During World War I and World War II, this company was a major supplier of armor plates and ordnance to the U.S. armed forces.",•https://en.wikipedia.org/wiki/Bethlehem_Steel,No,,Sheet1,Ammunition for test of 5-inch gun,nan,nan,Bethlehem Steel Co.,Investigating,['Artillery'],Artillery,Private,1904,0,0,1,Copy of Subjects Considered 1904-1905.xlsx
"BOF.AR.15.1904-1905
",Omission of firing with uncapped projectiles in test of mortar shell,Ordnance Board,,,,"The whole board at this time includes the personnel of: Maj. Gen. John C. Bates, Assistant Chief of Staff,
Brig. Gen. William Crozier, Chief of Ordnance,
Brig. Gen. Alexander Mackenzie, Chief of Engineers,
Brig. Gen. Samuel M. Mills, Chief of Artillery,
Col. Ramsay D. Potts, Artillery Corps,
Maj. Erasmus M. Weaver, General Staff,
Gen. Thomas J. Henderson, Civilian Member,
Capt. Tracy C. Dickson, Ordnance Department, Recorder. ","Fifteenth Report of the Board of Ordnance and Fortification, July 1, 1904 to June 30, 1905. House Document No. 85, 59th Congress, 1st Session. Washington, DC: Government Printing Office, 1905, p. 3. ",No,,Sheet1,Omission of firing with uncapped projectiles in test of mortar shell,nan,nan,Ordnance Board,Investigating,['Explosives'],Explosives,Private,1904,0,0,1,Copy of Subjects Considered 1904-1905.xlsx
