BOF Annual Report #,Subject,Proposed By,Action,Subject Details,Sources Cited (Subject),Proposer Details,Sources Cited (Proposer),Recommend Deeper Dive?,Recommendation Reasoning,source_sheet,subject_text,action_text,reasoning_text,proposer_text,status,technology_clusters,primary_cluster,proposer_type,year,is_approved,is_rejected,is_investigating,source_file
BOF.AR.16 ,Allotment for completion of Morris tubes,Chief of Ordnance.,,"Type of subcaliber insert used to convert full-sized military rifles, pistols, etc. to fire smaller, cheaper ammunition for training purposes. Standard in British training.  Evidence of use in training in US military via casualty report: ""Armored cruiser USS New York Turret Captain William B. Ahearne killed during Morris tube firing practice. 23 January 1905.""",https://www.rifleman.org.uk/Morris_Aiming_Tube.html ;https://en.wikipedia.org/wiki/.297/230_Morris ; https://www.history.navy.mil/research/library/online-reading-room/title-list-alphabetically/c/casualties-usnavy-marinecorps-personnel-killed-injured-selected-accidents-other-incidents-notdirectly-result-enemy-action.html,"William Crozier, alongside Adelbert Buffington, invented the wire-wound gun. During his tenure (Nov 1901–Dec 1917) he restructured the Ordnance Department.",https://en.wikipedia.org/wiki/William_Crozier_(artillerist),Yes,"Significant in the development of peace-time training techniques, reduced wear on expensive weapons, made training cheaper. ",Sheet1,Allotment for completion of Morris tubes,nan,"Significant in the development of peace-time training techniques, reduced wear on expensive weapons, made training cheaper.",Chief of Ordnance.,Investigating,[],Other/Unclassified,Government,,0,0,1,Copy of Subjects Considered 1905-1906.xlsx
BOF.AR.16 ,"Revocation of balance from allotment for inspection of
Bethlehem 6-inch gun",Chief of Ordnance.,,Coastal artillery pieces installed to defend major seaports.  Used for combining a relatively heavy shell with rapid hand loading. They were installed on disappearing carriages or pedestal (a.k.a. barbette) mountings. ,https://en.wikipedia.org/wiki/6-inch_gun_M1897,"William Crozier, alongside Adelbert Buffington, invented the wire-wound gun. During his tenure (Nov 1901–Dec 1917) he restructured the Ordnance Department.",https://en.wikipedia.org/wiki/William_Crozier_(artillerist),No,"Superseded by similar but better technology (i.e. Crozier wire gun, larger calibers).",Sheet1,"Revocation of balance from allotment for inspection of
Bethlehem 6-inch gun",nan,"Superseded by similar but better technology (i.e. Crozier wire gun, larger calibers).",Chief of Ordnance.,Investigating,['Artillery'],Artillery,Government,,0,0,1,Copy of Subjects Considered 1905-1906.xlsx
BOF.AR.16 ,"Revocation of balance from allotment for inspection of
Brown 6-inch wire gun",Chief of Ordnance.,,Used a segmental-tube wire-wound system intended to provide superior strength and durability compared to traditional built-up barrel methods. ,https://scripophily.net/brown-wire-gun-company-maine-1903/?srsltid=AfmBOoqUoKoHJpmN8-OfqL8KDzOikRQWs_oNBU2JAtKnfrjXsBw4sZzZ&utm_,"William Crozier, alongside Adelbert Buffington, invented the wire-wound gun. During his tenure (Nov 1901–Dec 1917) he restructured the Ordnance Department.",https://en.wikipedia.org/wiki/William_Crozier_(artillerist),No,Repeated breech mechanism failures led to revocation by the Board. ,Sheet1,"Revocation of balance from allotment for inspection of
Brown 6-inch wire gun",nan,Repeated breech mechanism failures led to revocation by the Board.,Chief of Ordnance.,Investigating,['Artillery'],Artillery,Government,,0,0,1,Copy of Subjects Considered 1905-1906.xlsx
BOF.AR.16 ,Allotment for completion of Powell gun sling catch,Chief of Ordnance.,,,,,,,,Sheet1,Allotment for completion of Powell gun sling catch,nan,nan,Chief of Ordnance.,Investigating,['Artillery'],Artillery,Government,,0,0,1,Copy of Subjects Considered 1905-1906.xlsx
BOF.AR.16 ,Allotments to raise and continue test of floating target.,Chief of Ordnance.,,,,,,,,Sheet1,Allotments to raise and continue test of floating target.,nan,nan,Chief of Ordnance.,Investigating,[],Other/Unclassified,Government,,0,0,1,Copy of Subjects Considered 1905-1906.xlsx
BOF.AR.16 ,Allotment for construction of Rafferty range and deflection boards,Maj. W. C. Rafferty.,,"Intended for use in coastal artillery plotting rooms, these boards calculated corrections for range (distance) and deflection (horizontal aiming/azimuth). ",https://en.wikipedia.org/wiki/Coast_Artillery_fire_control_system#Using_the_Range_Correction_and_Deflection_Boards,Appointmented to the Board on Regulation of Coast Artillery Fire (1894–1897) which placed him at the forefront of efforts to standardize and improve coastal artillery accuracy.,https://penelope.uchicago.edu/Thayer/E/Gazetteer/Places/America/United_States/Army/USMA/Cullums_Register/2830%2A.html?utm_source=chatgpt.com,Yes,Improved aiming accuracy using low-cost analog tools.,Sheet1,Allotment for construction of Rafferty range and deflection boards,nan,Improved aiming accuracy using low-cost analog tools.,Maj. W. C. Rafferty.,Investigating,[],Other/Unclassified,Private,,0,0,1,Copy of Subjects Considered 1905-1906.xlsx
BOF.AR.16 ,Ear protector adopted,J. A. R. Elliott.,,"Designed to absorb the shock of loud noises, especially firearm recoil. ",https://nap.nationalacademies.org/read/12928/chapter/6#42 ; https://www.worthpoint.com/worthopedia/antique-1904-jar-elliott-shooters-ear-130140699,"In 1911, famed bandleader John Philip Sousa, an acquaintance and trapshooter, objected that shooting trap clays “took a toll on his ears and was beginning to affect his livelihood as a musician.” In response, Elliott developed the ear protector. ",https://nap.nationalacademies.org/read/12928/chapter/6?utm_source,Yes,One of the earliest commercially available devices designed to protect hearing.,Sheet1,Ear protector adopted,nan,One of the earliest commercially available devices designed to protect hearing.,J. A. R. Elliott.,Investigating,[],Other/Unclassified,Private,,0,0,1,Copy of Subjects Considered 1905-1906.xlsx
BOF.AR.16 ,"Extension of program of test of 15-pounder, semiautomatic
gun",Chief of Ordnance.,,"Likely refers to the 3-inch Field Gun M1902. The first U.S. field gun with a modern recoil mechanism, allowing the gun to remain in position after firing—no need to re-aim after each shot.",https://en.wikipedia.org/wiki/3-inch_M1902_field_gun,"William Crozier, alongside Adelbert Buffington, invented the wire-wound gun. During his tenure (Nov 1901–Dec 1917) he restructured the Ordnance Department.",https://en.wikipedia.org/wiki/William_Crozier_(artillerist),Yes,First modern recoil gun in U.S. service.,Sheet1,"Extension of program of test of 15-pounder, semiautomatic
gun",nan,First modern recoil gun in U.S. service.,Chief of Ordnance.,Investigating,['Artillery'],Artillery,Government,,0,0,1,Copy of Subjects Considered 1905-1906.xlsx
BOF.AR.16 ,Wheel and shield for gun carriage,D. E. Carey.,,,,,,,,Sheet1,Wheel and shield for gun carriage,nan,nan,D. E. Carey.,Investigating,"['Artillery', 'Armor and Protection']",Artillery,Private,,0,0,1,Copy of Subjects Considered 1905-1906.xlsx
BOF.AR.16 ,Fortification of railroad iron,E. W. Felton.,,,,,,,,Sheet1,Fortification of railroad iron,nan,nan,E. W. Felton.,Investigating,['Fortification and Engineering'],Fortification and Engineering,Private,,0,0,1,Copy of Subjects Considered 1905-1906.xlsx
