BOF Annual Report #,Subject,Proposed By,Action,Subject Details,Sources Cited (Subject),Proposer Details,Sources Cited (Proposer),Recommend Deeper Dive?,Recommendation Reasoning,source_sheet,subject_text,action_text,reasoning_text,proposer_text,status,technology_clusters,primary_cluster,proposer_type,year,is_approved,is_rejected,is_investigating,source_file
BOF.AR.8.1897-1898,Aerial blasting apparatus,Arthur John Worrall.,Not recommended.,,,,,No,Not enough information.,Sheet1,Aerial blasting apparatus,Not recommended.,Not enough information.,Arthur John Worrall.,Investigating,[],Other/Unclassified,Private,1897,0,0,1,Copy of Subjects Considered 1897-1898.xlsx
BOF.AR.8.1897-1898,Electric revolver,F. H. Caldwell.,Not recommended.,,,,,No,Not enough information.,Sheet1,Electric revolver,Not recommended.,Not enough information.,F. H. Caldwell.,Investigating,[],Other/Unclassified,Private,1897,0,0,1,Copy of Subjects Considered 1897-1898.xlsx
BOF.AR.8.1897-1898,Land battery,M. Bennett.,Not recommended.,,,,,No,Not enough information.,Sheet1,Land battery,Not recommended.,Not enough information.,M. Bennett.,Investigating,['Fortification and Engineering'],Fortification and Engineering,Private,1897,0,0,1,Copy of Subjects Considered 1897-1898.xlsx
BOF.AR.8.1897-1898,"Field gun, 75 mm., complete, ammunition, etc",Maxim-Nordenfelt Gun and Ammunition Co.,Recommended. *,"Incorporated fixed cartridge ammunition, an eccentric‑screw breech, and hydro‑pneumatic recoil. Enabled rapid sustained fire without re‑aiming. It was tested and adopted during WW I; US produced many by 1918 and deployed over 1,900 guns in France.",https://en.wikipedia.org/wiki/75_mm_field_gun_M1897_on_M2_carriage,"Maxim‑Nordenfelt Gun & Ammunition Co., formed from the merger of Nordenfelt and Maxim in 1888. Influential in machine‑gun and artillery development.",https://en.wikipedia.org/wiki/Maxim_Nordenfelt_Guns_and_Ammunition_Company,Yes,"This was a pioneering artillery design subsequently standardized by U.S. forces. Its adoption, service, and lasting impact make it highly significant historically and technologically.",Sheet1,"Field gun, 75 mm., complete, ammunition, etc",Recommended. *,"This was a pioneering artillery design subsequently standardized by U.S. forces. Its adoption, service, and lasting impact make it highly significant historically and technologically.",Maxim-Nordenfelt Gun and Ammunition Co.,Investigating,['Artillery'],Artillery,Private,1897,0,0,1,Copy of Subjects Considered 1897-1898.xlsx
BOF.AR.8.1897-1898,"Mountain gun, 75 mm., complete, ammunition, etc",Maxim-Nordenfelt Gun and Ammunition Co.,Allotment.,"Lighter than the standard field model, equipped with an interrupted‑screw breech and a rudimentary recoil system. Notably used in the Boer War and described as among the best field guns of the era.
",https://www.angloboerwar.com/images/pdf/OVSAC_22_Hotchkiss&NordenfeltGuns.pdf,"Maxim‑Nordenfelt Gun & Ammunition Co., formed from the merger of Nordenfelt and Maxim in 1888. Influential in machine‑gun and artillery development.",https://en.wikipedia.org/wiki/Maxim_Nordenfelt_Guns_and_Ammunition_Company,Yes,"The 75 mm mountain variant was lighter, packable, and quicker firing than typical artillery of the period. Saw service in colonial conflicts (e.g. Boer War, Africa), including possible U.S. experiments around 1899 for Philippine deployment.",Sheet1,"Mountain gun, 75 mm., complete, ammunition, etc",Allotment.,"The 75 mm mountain variant was lighter, packable, and quicker firing than typical artillery of the period. Saw service in colonial conflicts (e.g. Boer War, Africa), including possible U.S. experiments around 1899 for Philippine deployment.",Maxim-Nordenfelt Gun and Ammunition Co.,Investigating,['Artillery'],Artillery,Private,1897,0,0,1,Copy of Subjects Considered 1897-1898.xlsx
BOF.AR.8.1897-1898,"Depression position finders, on tripods",Lieut. W. C. Rafferty.,Allotment.,Optical instruments designed to calculate the range to a target (typically a ship) by measuring the angle of depression from a known height above sea level. Key components of early vertical-base fire-control systems in coastal artillery and base-end stations.,https://en.wikipedia.org/wiki/Depression_range_finder,"William Carroll Rafferty (1859 - 1941) graduated from West Point in 1880 and rose to Brigadier General. He served extensively in coastal artillery commands, including roles at Fort St. Philip, Fort Monroe, Fort Preble, Fort Howard, and the defenses of New York, Baltimore, and Oahu. He was also on the Board on Regulation of Coast Artillery Fire (1894–1897), placing him directly in line with fire-control innovations.",https://penelope.uchicago.edu/Thayer/E/Gazetteer/Places/America/United_States/Army/USMA/Cullums_Register/2830*.html,Yes,This proposal came from someone directly involved in shaping U.S. coastal defense strategy and fire control. Depression range finders were crucial in the evolution of long-range targeting and the coordination of indirect artillery fire. Rafferty’s involvement suggests the submission likely influenced standard-issue gear and doctrine.,Sheet1,"Depression position finders, on tripods",Allotment.,This proposal came from someone directly involved in shaping U.S. coastal defense strategy and fire control. Depression range finders were crucial in the evolution of long-range targeting and the coordination of indirect artillery fire. Rafferty’s involvement suggests the submission likely influenced standard-issue gear and doctrine.,Lieut. W. C. Rafferty.,Investigating,[],Other/Unclassified,Private,1897,0,0,1,Copy of Subjects Considered 1897-1898.xlsx
BOF.AR.8.1897-1898,Air-navigating machine,James Seldon Cowdon.,Not recommended.,,,,,No,Not enough information.,Sheet1,Air-navigating machine,Not recommended.,Not enough information.,James Seldon Cowdon.,Investigating,[],Other/Unclassified,Private,1897,0,0,1,Copy of Subjects Considered 1897-1898.xlsx
BOF.AR.8.1897-1898,Shell for projecting frozen dynamite,H. W. Blair and H. P. Hurst.,Not recommended.,,,,,No,Not enough information.,Sheet1,Shell for projecting frozen dynamite,Not recommended.,Not enough information.,H. W. Blair and H. P. Hurst.,Investigating,['Explosives'],Explosives,Private,1897,0,0,1,Copy of Subjects Considered 1897-1898.xlsx
BOF.AR.8.1897-1898,Fuse,H. P. Hurst.,Not recommended.,,,,,No,Not enough information.,Sheet1,Fuse,Not recommended.,Not enough information.,H. P. Hurst.,Investigating,['Explosives'],Explosives,Private,1897,0,0,1,Copy of Subjects Considered 1897-1898.xlsx
BOF.AR.8.1897-1898,Projecting high explosives,Arthur Foster.,Not recommended.,,,,,No,Not enough information.,Sheet1,Projecting high explosives,Not recommended.,Not enough information.,Arthur Foster.,Investigating,[],Other/Unclassified,Private,1897,0,0,1,Copy of Subjects Considered 1897-1898.xlsx
